Sigla;Geocod;nome;PA2020;RA2020;PF2020;RF2020;PM2020;RM2020;PS2020;RS2020;PT2020;RT2020;PA2021;RA2021;PF2021;RF2021;PM2021;RM2021;PS2021;RS2021;PT2021;RT2021;PA2022;RA2022;PF2022;RF2022;PM2022;RM2022;PS2022;RS2022;PT2022;RT2022;PA2023;RA2023;PF2023;RF2023;PM2023;RM2023;PS2023;RS2023;PT2023;RT2023;PA2024;RA2024;PF2024;RF2024;PM2024;RM2024;PS2024;RS2024;PT2024;RT2024
MU;4210035;      Luzerna;-;0;29;15;11760;11760;686;1029;50;65;-;0;18;10;9120;9120;1386;2079;183;238;-;0;21;11;18000;18000;1512;2268;350;455;-;0;20;11;16800;16800;1770;2655;243;316;-;0;8;4;11340;11340;2080;3120;351;456
MU;4210050;      Macieira;-;0;14;7;8400;8400;290;435;-;0;-;0;14;7;5040;5040;297;446;338;439;-;0;14;7;7560;7560;435;653;828;1076;-;0;14;7;8640;8640;540;810;400;520;-;0;8;4;6480;6480;444;666;250;325
MU;4210704;      Matos Costa;-;0;272;144;7200;7200;900;1350;-;0;-;0;207;110;6000;6000;920;1380;-;0;-;0;212;112;5980;5980;957;1436;63;82;-;0;86;46;6593;6593;1200;1800;25;33;-;0;89;47;4025;4025;1209;1814;13;17
MU;4211801;      Ouro;-;0;27;14;15960;15960;1650;2475;150;195;-;0;16;8;15200;15200;1760;2640;183;238;-;0;18;10;9000;9000;2500;3750;780;1014;-;0;16;8;15800;15800;3000;4500;810;1053;-;0;7;4;11500;11500;3000;4500;1170;1521
MU;4213005;      Pinheiro Preto;-;0;11;6;7500;7500;828;1242;22;29;-;0;11;6;4220;4220;165;248;168;218;-;0;11;6;6000;6000;121;182;600;780;-;0;11;6;7200;7200;600;900;140;182;-;0;54;29;6300;6300;625;938;168;218
MU;4214409;      Rio das Antas;-;0;49;26;34200;34200;6300;9450;125;163;-;0;50;27;13680;13680;6359;9539;1250;1625;-;0;40;21;24500;24500;5940;8910;1404;1825;-;0;104;55;25110;25110;7040;10560;945;1229;-;0;83;44;13750;13750;7680;11520;975;1268
MU;4215406;      Salto Veloso;-;0;20;11;9600;9600;100;150;150;195;-;0;20;11;1410;1410;130;195;210;273;-;0;20;11;9000;9000;231;347;270;351;-;0;20;11;8100;8100;231;347;200;260;-;0;20;11;6750;6750;196;294;30;39
MU;4217907;      Tangará;-;0;105;56;39600;39600;9000;13500;1640;2132;-;0;108;57;27500;27500;9000;13500;2210;2873;-;0;106;56;26460;26460;9450;14175;3000;3900;-;0;105;56;33840;33840;10850;16275;1500;1950;-;0;105;56;25380;25380;10616;15924;1560;2028
MU;4218509;      Treze Tílias;-;0;-;0;14985;14985;1344;2016;-;0;-;0;-;0;14060;14060;1304;1956;183;238;-;0;-;0;9000;9000;2800;4200;1550;2015;-;0;-;0;15500;15500;3400;5100;720;936;-;0;-;0;9200;9200;3040;4560;780;1014
MU;4219176;      Vargem Bonita;-;0;-;0;10800;10800;3600;5400;-;0;-;0;-;0;9192;9192;3260;4890;-;0;-;0;-;0;7623;7623;3660;5490;-;0;-;0;-;0;6500;6500;4200;6300;468;608;-;0;-;0;2930;2930;4070;6105;780;1014
MU;4219309;      Videira;-;0;425;225;38775;38775;7175;10763;552;718;-;0;425;225;29000;29000;7420;11130;729;948;-;0;306;162;26460;26460;5520;8280;875;1138;-;0;401;213;44100;44100;9200;13800;630;819;-;0;315;167;29400;29400;8034;12051;1000;1300
MI;42005;    Concórdia;3;4;677;359;161493;161493;22128;33192;1440;1872;2;2;536;284;62166;62166;21725;32588;5690;7397;3;4;632;335;92620;92620;21598;32397;8677;11280;-;0;362;192;95915;95915;32544;48816;7795;10134;-;0;382;202;74092;74092;33780;50670;8792;11430
MU;4200754;      Alto Bela Vista;-;0;16;8;4680;4680;660;990;160;208;-;0;9;5;2000;2000;600;900;245;319;-;0;15;8;2160;2160;1406;2109;850;1105;-;0;6;3;2160;2160;1200;1800;351;456;-;0;6;3;2970;2970;1476;2214;666;866
MU;4201273;      Arabutã;3;4;30;16;6498;6498;195;293;-;0;2;2;13;7;3150;3150;150;225;-;0;3;4;9;5;3150;3150;135;203;-;0;-;0;9;5;2100;2100;70;105;-;0;-;0;7;4;2100;2100;36;54;-;0
MU;4201653;      Arvoredo;-;0;18;10;2400;2400;200;300;-;0;-;0;-;0;1000;1000;230;345;-;0;-;0;20;11;1200;1200;150;225;60;78;-;0;21;11;3150;3150;624;936;135;176;-;0;21;11;972;972;750;1125;60;78
MU;4204301;      Concórdia;-;0;300;159;50400;50400;5070;7605;960;1248;-;0;270;143;16616;16616;4880;7320;1500;1950;-;0;100;53;37800;37800;6000;9000;2100;2730;-;0;100;53;36000;36000;7590;11385;2040;2652;-;0;60;32;30000;30000;7320;10980;2700;3510
MU;4207601;      Ipira;-;0;40;21;9360;9360;600;900;320;416;-;0;12;6;2700;2700;520;780;360;468;-;0;35;19;4800;4800;500;750;648;842;-;0;20;11;3825;3825;980;1470;270;351;-;0;15;8;4590;4590;1224;1836;459;597
MU;4207700;      Ipumirim;-;0;30;16;9000;9000;900;1350;-;0;-;0;21;11;3800;3800;1000;1500;650;845;-;0;22;12;4800;4800;1000;1500;240;312;-;0;25;13;5760;5760;1560;2340;240;312;-;0;21;11;3600;3600;1080;1620;360;468
MU;4207809;      Irani;-;0;30;16;13800;13800;9500;14250;-;0;-;0;30;16;8400;8400;9360;14040;1050;1365;-;0;18;10;8100;8100;6720;10080;1500;1950;-;0;23;12;9300;9300;12000;18000;1800;2340;-;0;10;5;3840;3840;13260;19890;1518;1973
MU;4208005;      Itá;-;0;36;19;5850;5850;1120;1680;-;0;-;0;25;13;1900;1900;750;1125;600;780;-;0;30;16;4320;4320;735;1103;700;910;-;0;10;5;1440;1440;1800;2700;550;715;-;0;7;4;1440;1440;1650;2475;528;686
MU;4209854;      Lindóia do Sul;-;0;28;15;7590;7590;782;1173;-;0;-;0;20;11;2300;2300;750;1125;45;59;-;0;29;15;3360;3360;975;1463;-;0;-;0;-;0;7500;7500;1040;1560;-;0;-;0;-;0;2100;2100;750;1125;150;195
MU;4211876;      Paial;-;0;20;11;3600;3600;448;672;-;0;-;0;10;5;2400;2400;350;525;120;156;-;0;18;10;2170;2170;200;300;30;39;-;0;10;5;1800;1800;360;540;24;31;-;0;7;4;960;960;630;945;200;260
MU;4212601;      Peritiba;-;0;11;6;9525;9525;360;540;-;0;-;0;5;3;2700;2700;300;450;240;312;-;0;12;6;4320;4320;660;990;450;585;-;0;12;6;2400;2400;550;825;75;98;-;0;-;0;3300;3300;264;396;216;281
MU;4213104;      Piratuba;-;0;23;12;3150;3150;1197;1796;-;0;-;0;20;11;2100;2100;1700;2550;640;832;-;0;200;106;1800;1800;1890;2835;1650;2145;-;0;24;13;1890;1890;2640;3960;1500;1950;-;0;138;73;2400;2400;2640;3960;1152;1498
MU;4213906;      Presidente Castello Branco;-;0;5;3;4200;4200;90;135;-;0;-;0;5;3;2400;2400;90;135;-;0;-;0;5;3;4320;4320;105;158;124;161;-;0;5;3;2300;2300;90;135;120;156;-;0;4;2;2800;2800;75;113;45;59
MU;4217501;      Seara;-;0;70;37;24960;24960;690;1035;-;0;-;0;75;40;8000;8000;720;1080;-;0;-;0;60;32;7200;7200;450;675;325;423;-;0;75;40;14400;14400;1080;1620;360;468;-;0;60;32;9600;9600;1650;2475;450;585
MU;4219606;      Xavantina;-;0;20;11;6480;6480;316;474;-;0;-;0;21;11;2700;2700;325;488;240;312;-;0;59;31;3120;3120;672;1008;-;0;-;0;22;12;1890;1890;960;1440;330;429;-;0;26;14;3420;3420;975;1463;288;374
ME;4202;  Norte Catarinense;139503;167404;16398;8691;286999;286999;540076;810114;47356;61563;135884;163061;17994;9537;288094;288094;527220;790830;78543;102106;141996;170395;19109;10128;277489;277489;549020;823530;70073;91095;143875;172650;19868;10530;342223;342223;650906;976359;33097;43026;146939;176327;16010;8485;262936;262936;597440;896160;61270;79651
MI;42006;    Canoinhas;480;576;15226;8070;257670;257670;490876;736314;46780;60814;480;576;16826;8918;259300;259300;478020;717030;77930;101309;440;528;17803;9436;247080;247080;507500;761250;66363;86272;480;576;18328;9714;312110;312110;602952;904428;30287;39373;390;468;14485;7677;239310;239310;555968;833952;59555;77422
MU;4202131;      Bela Vista do Toldo;-;0;477;253;13200;13200;21960;32940;1320;1716;-;0;480;254;11520;11520;21810;32715;2040;2652;-;0;870;461;10800;10800;21220;31830;1900;2470;-;0;890;472;12480;12480;23600;35400;600;780;-;0;685;363;8500;8500;21780;32670;1190;1547
MU;4203808;      Canoinhas;-;0;3120;1654;36800;36800;85100;127650;9800;12740;-;0;3264;1730;39360;39360;84300;126450;17500;22750;-;0;3280;1738;40320;40320;85720;128580;13200;17160;-;0;3540;1876;51480;51480;106900;160350;7750;10075;-;0;2460;1304;39360;39360;108400;162600;15750;20475
MU;4207908;      Irineópolis;-;0;1448;767;18400;18400;42780;64170;5760;7488;-;0;1620;859;18860;18860;41700;62550;8700;11310;-;0;1350;716;22080;22080;46340;69510;8350;10855;-;0;1485;787;30000;30000;53830;80745;2862;3721;-;0;1440;763;24650;24650;53740;80610;6480;8424
MU;4208104;      Itaiópolis;-;0;1890;1002;55180;55180;64800;97200;4080;5304;-;0;2320;1230;53600;53600;62850;94275;9520;12376;-;0;1850;981;42900;42900;68080;102120;5611;7294;-;0;1800;954;57000;57000;78000;117000;3150;4095;-;0;960;509;45900;45900;70580;105870;5610;7293
MU;4210100;      Mafra;-;0;3846;2038;50600;50600;98820;148230;12250;15925;-;0;4920;2608;51000;51000;96000;144000;19250;25025;-;0;4650;2465;47520;47520;102360;153540;16800;21840;-;0;5080;2692;62370;62370;126000;189000;9625;12513;-;0;4260;2258;46480;46480;107760;161640;16800;21840
MU;4210308;      Major Vieira;-;0;869;461;9900;9900;41360;62040;4320;5616;-;0;780;413;9020;9020;38490;57735;5760;7488;-;0;2340;1240;9900;9900;42200;63300;5664;7363;-;0;1870;991;11880;11880;54420;81630;1950;2535;-;0;1280;678;8900;8900;48960;73440;4200;5460
MU;4211108;      Monte Castelo;120;144;210;111;4250;4250;16656;24984;660;858;120;144;405;215;3800;3800;16270;24405;2040;2652;110;132;624;331;3300;3300;17780;26670;978;1271;120;144;810;429;4500;4500;20000;30000;490;637;65;78;760;403;4200;4200;19980;29970;1020;1326
MU;4212205;      Papanduva;360;432;1580;837;29370;29370;55800;83700;4550;5915;360;432;1560;827;31160;31160;54140;81210;7000;9100;330;396;1430;758;28380;28380;54850;82275;6300;8190;360;432;1470;779;38400;38400;60660;90990;2340;3042;325;390;1440;763;27360;27360;46860;70290;5400;7020
MU;4213609;      Porto União;-;0;674;357;11570;11570;26600;39900;1080;1404;-;0;580;307;13280;13280;23980;35970;1800;2340;-;0;490;260;11520;11520;25950;38925;852;1108;-;0;490;260;13000;13000;34640;51960;560;728;-;0;456;242;9000;9000;32480;48720;1440;1872
MU;4215679;      Santa Terezinha;-;0;165;87;12000;12000;12000;18000;-;0;-;0;163;86;12000;12000;13600;20400;-;0;-;0;195;103;15000;15000;18000;27000;2700;3510;-;0;173;92;12000;12000;13332;19998;-;0;-;0;168;89;12000;12000;18698;28047;225;293
MU;4218251;      Timbó Grande;-;0;96;51;7200;7200;1600;2400;-;0;-;0;140;74;7200;7200;1400;2100;-;0;-;0;144;76;6000;6000;780;1170;-;0;-;0;180;95;8000;8000;1120;1680;-;0;-;0;120;64;5760;5760;1050;1575;-;0
MU;4218301;      Três Barras;-;0;851;451;9200;9200;23400;35100;2960;3848;-;0;594;315;8500;8500;23480;35220;4320;5616;-;0;580;307;9360;9360;24220;36330;4008;5210;-;0;540;286;11000;11000;30450;45675;960;1248;-;0;456;242;7200;7200;25680;38520;1440;1872
MI;42007;    São Bento do Sul;64;77;1172;621;27420;27420;49200;73800;576;749;70;84;1168;619;27420;27420;49200;73800;613;797;74;89;1306;692;28000;28000;41520;62280;3710;4823;69;83;1540;816;27000;27000;47954;71931;2810;3653;68;82;1525;808;21453;21453;41472;62208;1715;2230
MU;4203303;      Campo Alegre;-;0;297;157;9900;9900;7500;11250;150;195;-;0;293;155;9900;9900;7500;11250;150;195;-;0;225;119;9360;9360;6600;9900;480;624;-;0;423;224;8500;8500;7115;10673;450;585;-;0;378;200;6800;6800;6750;10125;300;390
MU;4215000;      Rio Negrinho;-;0;743;394;11520;11520;38400;57600;380;494;-;0;743;394;11520;11520;38400;57600;417;542;-;0;861;456;12160;12160;30960;46440;2584;3359;-;0;893;473;11700;11700;36444;54666;2040;2652;-;0;883;468;9533;9533;30597;45896;1204;1565
MU;4215802;      São Bento do Sul;64;77;132;70;6000;6000;3300;4950;46;60;70;84;132;70;6000;6000;3300;4950;46;60;74;89;220;117;6480;6480;3960;5940;646;840;69;83;224;119;6800;6800;4395;6593;320;416;68;82;264;140;5120;5120;4125;6188;211;274
MI;42008;    Joinville;138959;166751;-;0;1909;1909;-;0;-;0;135334;162401;-;0;1374;1374;-;0;-;0;141482;169778;-;0;2409;2409;-;0;-;0;143326;171991;-;0;3113;3113;-;0;-;0;146481;175777;-;0;2173;2173;-;0;-;0
MU;4201307;      Araquari;18833;22600;-;0;87;87;-;0;-;0;18921;22705;-;0;265;265;-;0;-;0;18713;22456;-;0;294;294;-;0;-;0;19188;23026;-;0;255;255;-;0;-;0;18486;22183;-;0;257;257;-;0;-;0
MU;4202057;      Balneário Barra do Sul;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0
MU;4204509;      Corupá;328;394;-;0;60;60;-;0;-;0;326;391;-;0;35;35;-;0;-;0;499;599;-;0;-;-;-;0;-;0;484;581;-;0;112;112;-;0;-;0;421;505;-;0;112;112;-;0;-;0
MU;4205803;      Garuva;7826;9391;-;0;-;-;-;0;-;0;7867;9440;-;0;-;-;-;0;-;0;7634;9161;-;0;-;-;-;0;-;0;7440;8928;-;0;-;-;-;0;-;0;7500;9000;-;0;-;-;-;0;-;0
MU;4206504;      Guaramirim;30791;36949;-;0;72;72;-;0;-;0;29213;35056;-;0;54;54;-;0;-;0;31961;38353;-;0;825;825;-;0;-;0;35527;42632;-;0;825;825;-;0;-;0;37600;45120;-;0;400;400;-;0;-;0
MU;4208450;      Itapoá;960;1152;-;0;-;-;-;0;-;0;960;1152;-;0;-;-;-;0;-;0;817;980;-;0;-;-;-;0;-;0;935;1122;-;0;-;-;-;0;-;0;946;1135;-;0;-;-;-;0;-;0
MU;4208906;      Jaraguá do Sul;7055;8466;-;0;1200;1200;-;0;-;0;7055;8466;-;0;640;640;-;0;-;0;6385;7662;-;0;918;918;-;0;-;0;6400;7680;-;0;1053;1053;-;0;-;0;6400;7680;-;0;711;711;-;0;-;0
